ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00496,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00497,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00498,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00499,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00500,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00501,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00502,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00503,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00504,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00505,Ditylum ,sp.,R-R1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00429,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,TRUE
ID00430,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,TRUE
ID00431,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,TRUE
ID00432,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,TRUE
ID00433,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,TRUE
ID00434,Guinardia ,flaccida,RCC5791,English channel,6.2017,11.09.2018,positive,f/2,TRUE
ID00294,Guinardia ,sp.,R-R142,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00298,Guinardia ,sp.,R-R143,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00299,Guinardia ,sp.,R-R149,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00304,Guinardia ,sp.,R-R155,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00307,Guinardia ,sp.,R-R158,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00308,Guinardia ,sp.,R-R252,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00310,Guinardia ,sp.,R-R256,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00315,Guinardia ,sp.,R-R258,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00316,Guinardia ,sp.,R-R442,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00331,Guinardia ,sp.,R-R452,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00332,Guinardia ,sp.,R-R452,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00335,Guinardia ,sp.,R-R335,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00340,Guinardia ,sp.,R-R1412,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00343,Guinardia ,sp.,R-R1414,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00344,Guinardia ,sp.,R-R1417,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00347,Guinardia ,sp.,R-R1419,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00348,Guinardia ,sp.,R-R1427,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00351,Guinardia ,sp.,R-R1428,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00352,Guinardia ,sp.,R-R1509,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00355,Guinardia ,sp.,R-R1511,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00356,Guinardia ,sp.,R-R1518,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00367,Guinardia ,sp.,R-R2516,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00369,Guinardia ,sp.,R-R2522,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00370,Guinardia ,sp.,R-R2523,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00373,Guinardia ,sp.,R-R2524,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00374,Guinardia ,sp.,R-R2525,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00382,Lauderia,sp.,R-R4511,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00383,Lauderia,sp.,R-R4513,Penze Estuary,6.2018,08.07.2018,positive,f/2,FALSE
ID00384,Lauderia,sp.,R-R4513,Penze Estuary,6.2018,08.07.2018,positive,f/2,FALSE
ID00385,Lauderia,sp.,R-R4513,Penze Estuary,6.2018,08.07.2018,positive,f/2,FALSE
ID00386,Lauderia,sp.,R-R4513,Penze Estuary,6.2018,08.07.2018,positive,f/2,FALSE
ID00387,Lauderia,sp.,R-R4513,Penze Estuary,6.2018,08.07.2018,positive,f/2,FALSE
ID00403,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00404,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00405,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00406,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00407,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00408,Lauderia,annulata,RCC2561,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00256,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,07.08.2018,positive,f/2,TRUE
ID00257,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,07.08.2018,positive,f/2,TRUE
ID00258,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,07.08.2018,positive,f/2,TRUE
ID00259,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,07.08.2018,positive,f/2,TRUE
ID00260,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,07.08.2018,positive,f/2,TRUE
ID00336,Pleurosigma,sp.,R-R653,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00360,Pleurosigma,sp.,R-R2510,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00790,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00791,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00792,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00793,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00794,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00795,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00796,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00797,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00798,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00799,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00800,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00801,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00802,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00803,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00804,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00805,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00806,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00807,Pleurosigma,sp.,R-PS1,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00293,Rhizosolenia,sp.,R-R141,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00302,Rhizosolenia,sp.,R-R154,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00303,Rhizosolenia,sp.,R-R154,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00363,Rhizosolenia,sp.,R-R2511,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00393,Rhizosolenia,sp.,R-R4518,Penze Estuary,6.2018,28.06.2018,positive,Penze,FALSE
ID00506,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00507,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00508,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00509,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00510,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00511,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00512,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00513,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00514,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00515,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00516,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00517,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00518,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00519,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00520,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00521,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00522,Rhizosolenia,sp.,R-R257,Penze Estuary,6.2018,11.03.2019,positive,f/2,TRUE
ID00320,Thalassiosira ,sp.,R-R451,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00321,Thalassiosira ,sp.,R-R451,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00333,Thalassiosira ,sp.,R-R459,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00377,Thalassiosira ,sp.,R-R4316,Penze Estuary,6.2018,29.06.2018,positive,Penze,FALSE
ID00409,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00410,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00411,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00412,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00413,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00414,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00415,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00416,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00417,Thalassiosira ,sp.,RCC2562,English channel,1.2011,11.09.2018,positive,f/2,TRUE
ID00418,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00419,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00420,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00421,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00422,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00423,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00424,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00425,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00426,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00427,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
ID00428,Thalassiosira ,punctigera,RCC4667,English channel,5.2015,11.09.2018,positive,f/2,TRUE
